code,name,element_type,category,difficulty,base_points,duration_seconds,skip_unlock_rule,proof_required,validation_mode,can_be_fake,can_appear_in_reserve,player_display_text,ui_tag_1,ui_tag_2,success_button_label,failure_button_label,is_active
faire_se_mettre_entre_deux_personnes,Faire se mettre entre deux personnes,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire se mettre entre deux personnes,placement,mouvement,Réussi,Raté,True
faire_se_mettre_face_a_une_autre_personne,Faire se mettre face à une autre personne,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire se mettre face à une autre personne,placement,mouvement,Réussi,Raté,True
faire_lever_quelquun_puis_parler_a_une_autre_personne,Faire lever quelqu’un puis parler à une autre personne,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire lever quelqu’un puis parler à une autre personne,triangulaire,groupe,Réussi,Raté,True
faire_proposer_une_photo_puis_choisir_les_participants,Faire proposer une photo puis choisir les participants,mission,social,3,5,600,one_half,False,auto,True,True,Faire proposer une photo puis choisir les participants,social,visible,Réussi,Raté,True
faire_corriger_une_posture_pour_une_photo,Faire corriger une posture pour une photo,mission,social,2,3,420,one_half,False,auto,True,True,Faire corriger une posture pour une photo,social,visible,Réussi,Raté,True
faire_vouloir_voir_le_resultat_dune_photo,Faire vouloir voir le résultat d’une photo,mission,social,1,1,300,one_third,False,auto,True,True,Faire vouloir voir le résultat d’une photo,social,visible,Réussi,Raté,True
faire_demander_a_recommencer_une_photo,Faire demander à recommencer une photo,mission,social,2,3,420,one_half,False,auto,True,True,Faire demander à recommencer une photo,social,visible,Réussi,Raté,True
faire_trinquer_apres_une_reussite,Faire trinquer après une réussite,mission,social,1,1,300,one_third,False,auto,True,True,Faire trinquer après une réussite,social,visible,Réussi,Raté,True
aller_parler_a_une_nouvelle_personne,Aller parler à une nouvelle personne,mission,natural,1,1,300,one_third,False,auto,True,True,Aller parler à une nouvelle personne,naturel,fluide,Réussi,Raté,True
relancer_une_conversation_qui_meurt,Relancer une conversation qui meurt,mission,natural,1,1,300,one_third,False,auto,True,True,Relancer une conversation qui meurt,naturel,fluide,Réussi,Raté,True
obtenir_un_compliment,Obtenir un compliment,mission,social,2,3,420,one_half,False,auto,True,True,Obtenir un compliment,social,visible,Réussi,Raté,True
obtenir_une_photo_de_laction,Obtenir une photo de l’action,mission,proof,2,3,420,one_half,True,proof,False,True,Obtenir une photo de l’action,preuve,média,Réussi,Raté,True
envoyer_une_photo_au_maitre_du_jeu,Envoyer une photo au maître du jeu,mission,proof,2,3,420,one_half,True,proof,False,False,Envoyer une photo au maître du jeu,preuve,média,Réussi,Raté,False
obtenir_une_video_discrete,Obtenir une vidéo discrète,mission,proof,3,5,600,one_half,True,proof,False,False,Obtenir une vidéo discrète,preuve,média,Réussi,Raté,False
faire_valider_par_un_temoin_discret,Faire valider par un témoin discret,mission,proof,3,5,600,one_half,True,proof,False,False,Faire valider par un témoin discret,preuve,média,Réussi,Raté,False
faire_dire_elegant,Faire dire élégant,mission,conversation,1,1,300,one_third,False,auto,True,False,Faire dire élégant,parole,mot,Réussi,Raté,False
faire_dire_mysterieux,Faire dire mystérieux,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire dire mystérieux,parole,mot,Réussi,Raté,True
faire_dire_suspect,Faire dire suspect,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire dire suspect,parole,mot,Réussi,Raté,True
faire_dire_theatral,Faire dire théâtral,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire dire théâtral,parole,mot,Réussi,Raté,True
faire_dire_royal,Faire dire royal,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire dire royal,parole,mot,Réussi,Raté,True
faire_chanter_le_debut_de_joyeux_anniversaire,Faire chanter le début de Joyeux anniversaire,mission,social,2,3,420,one_half,False,auto,True,True,Faire chanter le début de Joyeux anniversaire,chanson,connue,Réussi,Raté,True
faire_fredonner_les_demons_de_minuit,Faire fredonner Les démons de minuit,mission,social,2,3,420,one_half,False,auto,True,True,Faire fredonner Les démons de minuit,chanson,connue,Réussi,Raté,True
faire_chanter_une_phrase_de_djadja,Faire chanter une phrase de Djadja,mission,social,2,3,420,one_half,False,auto,True,True,Faire chanter une phrase de Djadja,chanson,connue,Réussi,Raté,True
faire_fredonner_aicha,Faire fredonner Aïcha,mission,social,2,3,420,one_half,False,auto,True,True,Faire fredonner Aïcha,chanson,connue,Réussi,Raté,True
faire_chanter_une_phrase_de_je_te_promets,Faire chanter une phrase de Je te promets,mission,social,2,3,420,one_half,False,auto,True,True,Faire chanter une phrase de Je te promets,chanson,connue,Réussi,Raté,True
faire_chuchoter_regarde_derriere_toi,Faire chuchoter regarde derrière toi,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire chuchoter regarde derrière toi,parole,discret,Réussi,Raté,True
faire_chuchoter_je_crois_quon_tobserve,Faire chuchoter je crois qu’on t’observe,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire chuchoter je crois qu’on t’observe,parole,discret,Réussi,Raté,True
faire_chuchoter_viens_voir_la_bas,Faire chuchoter viens voir là-bas,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire chuchoter viens voir là-bas,parole,discret,Réussi,Raté,True
faire_chuchoter_ton_masque_est_style,Faire chuchoter ton masque est stylé,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire chuchoter ton masque est stylé,parole,discret,Réussi,Raté,True
faire_chuchoter_ne_te_retourne_pas,Faire chuchoter ne te retourne pas,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire chuchoter ne te retourne pas,parole,discret,Réussi,Raté,True
faire_utiliser_bizarre,Faire utiliser bizarre,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire utiliser bizarre,parole,mot,Réussi,Raté,True
faire_utiliser_incroyable,Faire utiliser incroyable,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire utiliser incroyable,parole,mot,Réussi,Raté,True
faire_utiliser_classe,Faire utiliser classe,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire utiliser classe,parole,mot,Réussi,Raté,True
faire_utiliser_etrange,Faire utiliser étrange,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire utiliser étrange,parole,mot,Réussi,Raté,True
faire_utiliser_dramatique,Faire utiliser dramatique,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire utiliser dramatique,parole,mot,Réussi,Raté,True
faire_dire_jaime_ton_masque_a_une_personne_devant_une_autre,Faire dire j’aime ton masque à une personne devant une autre,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire dire j’aime ton masque à une personne devant une autre,triangulaire,phrase,Réussi,Raté,True
faire_dire_ta_tenue_est_incroyable_a_une_personne_devant_une_autre,Faire dire ta tenue est incroyable à une personne devant une autre,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire dire ta tenue est incroyable à une personne devant une autre,triangulaire,phrase,Réussi,Raté,True
faire_dire_tu_triches_a_une_personne_devant_une_autre,Faire dire tu triches à une personne devant une autre,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire dire tu triches à une personne devant une autre,triangulaire,phrase,Réussi,Raté,True
faire_dire_je_ne_suis_pas_sur_de_toi_a_une_personne_devant_une_autre,Faire dire je ne suis pas sûr de toi à une personne devant une autre,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire dire je ne suis pas sûr de toi à une personne devant une autre,triangulaire,phrase,Réussi,Raté,True
faire_citer_chloe,Faire citer Chloé,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire citer Chloé,parole,cible,Réussi,Raté,True
faire_citer_lucas,Faire citer Lucas,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire citer Lucas,parole,cible,Réussi,Raté,True
faire_citer_marina,Faire citer Marina,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire citer Marina,parole,cible,Réussi,Raté,True
faire_citer_greg,Faire citer Greg,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire citer Greg,parole,cible,Réussi,Raté,True
faire_citer_fanny,Faire citer Fanny,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire citer Fanny,parole,cible,Réussi,Raté,True
faire_appeler_lucas,Faire appeler Lucas,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Lucas,triangulaire,cible,Réussi,Raté,True
faire_appeler_juliette,Faire appeler Juliette,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Juliette,triangulaire,cible,Réussi,Raté,True
faire_appeler_greg,Faire appeler Greg,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Greg,triangulaire,cible,Réussi,Raté,True
faire_appeler_lou,Faire appeler Lou,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Lou,triangulaire,cible,Réussi,Raté,True
faire_appeler_alexis,Faire appeler Alexis,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Alexis,triangulaire,cible,Réussi,Raté,True
faire_asseoir_quelquun_a_cote_de_marina,Faire asseoir quelqu’un à côté de Marina,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire asseoir quelqu’un à côté de Marina,placement,cible,Réussi,Raté,True
faire_asseoir_quelquun_a_cote_de_chloe,Faire asseoir quelqu’un à côté de Chloé,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire asseoir quelqu’un à côté de Chloé,placement,cible,Réussi,Raté,True
faire_asseoir_quelquun_a_cote_de_greg,Faire asseoir quelqu’un à côté de Greg,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire asseoir quelqu’un à côté de Greg,placement,cible,Réussi,Raté,True
faire_asseoir_quelquun_a_cote_de_florentine,Faire asseoir quelqu’un à côté de Florentine,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire asseoir quelqu’un à côté de Florentine,placement,cible,Réussi,Raté,True
faire_poser_une_question_a_greg_sur_juliette,Faire poser une question à Greg sur Juliette,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire poser une question à Greg sur Juliette,triangulaire,cible,Réussi,Raté,True
faire_poser_une_question_a_lucas_sur_lou,Faire poser une question à Lucas sur Lou,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire poser une question à Lucas sur Lou,triangulaire,cible,Réussi,Raté,True
faire_poser_une_question_a_fanny_sur_chloe,Faire poser une question à Fanny sur Chloé,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire poser une question à Fanny sur Chloé,triangulaire,cible,Réussi,Raté,True
faire_citer_lucas_par_chloe_devant_marina,Faire citer Lucas par Chloé devant Marina,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire citer Lucas par Chloé devant Marina,triangulaire,cible,Réussi,Raté,True
faire_citer_greg_par_lou_devant_juliette,Faire citer Greg par Lou devant Juliette,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire citer Greg par Lou devant Juliette,triangulaire,cible,Réussi,Raté,True
faire_citer_alexis_par_fanny_devant_florentine,Faire citer Alexis par Fanny devant Florentine,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire citer Alexis par Fanny devant Florentine,triangulaire,cible,Réussi,Raté,True
faire_appeler_fanny_pour_une_photo,Faire appeler Fanny pour une photo,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Fanny pour une photo,photo,cible,Réussi,Raté,True
faire_appeler_lou_pour_une_photo,Faire appeler Lou pour une photo,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Lou pour une photo,photo,cible,Réussi,Raté,True
faire_appeler_andy_pour_une_photo,Faire appeler Andy pour une photo,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Andy pour une photo,photo,cible,Réussi,Raté,True
faire_appeler_greg_pour_une_photo,Faire appeler Greg pour une photo,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire appeler Greg pour une photo,photo,cible,Réussi,Raté,True
faire_complimenter_juliette,Faire complimenter Juliette,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire complimenter Juliette,triangulaire,cible,Réussi,Raté,True
faire_complimenter_andy,Faire complimenter Andy,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire complimenter Andy,triangulaire,cible,Réussi,Raté,True
faire_complimenter_marina,Faire complimenter Marina,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire complimenter Marina,triangulaire,cible,Réussi,Raté,True
faire_complimenter_chloe,Faire complimenter Chloé,mission,triangular,3,5,600,one_half,False,auto,True,True,Faire complimenter Chloé,triangulaire,cible,Réussi,Raté,True
rapprocher_greg_et_lou,Rapprocher Greg et Lou,mission,triangular,2,3,420,one_half,False,auto,True,True,Rapprocher Greg et Lou,triangulaire,groupe,Réussi,Raté,True
rapprocher_lucas_et_florentine,Rapprocher Lucas et Florentine,mission,triangular,2,3,420,one_half,False,auto,True,True,Rapprocher Lucas et Florentine,triangulaire,groupe,Réussi,Raté,True
rapprocher_alexis_et_marina,Rapprocher Alexis et Marina,mission,triangular,2,3,420,one_half,False,auto,True,True,Rapprocher Alexis et Marina,triangulaire,groupe,Réussi,Raté,True
rapprocher_fanny_et_juliette,Rapprocher Fanny et Juliette,mission,triangular,2,3,420,one_half,False,auto,True,True,Rapprocher Fanny et Juliette,triangulaire,groupe,Réussi,Raté,True
faire_poser_un_verre_sur_la_grande_table,Faire poser un verre sur la grande table,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire poser un verre sur la grande table,placement,objet,Réussi,Raté,True
faire_poser_un_verre_sur_le_bord_du_preau,Faire poser un verre sur le bord du préau,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire poser un verre sur le bord du préau,placement,objet,Réussi,Raté,True
faire_poser_un_verre_pres_du_coin_photo,Faire poser un verre près du coin photo,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire poser un verre près du coin photo,placement,objet,Réussi,Raté,True
faire_montrer_son_masque,Faire montrer son masque,mission,social,1,1,300,one_third,False,auto,True,True,Faire montrer son masque,social,accessoire,Réussi,Raté,True
faire_montrer_sa_bague,Faire montrer sa bague,mission,social,1,1,300,one_third,False,auto,True,True,Faire montrer sa bague,social,accessoire,Réussi,Raté,True
faire_montrer_son_collier,Faire montrer son collier,mission,social,1,1,300,one_third,False,auto,True,True,Faire montrer son collier,social,accessoire,Réussi,Raté,True
faire_montrer_sa_veste,Faire montrer sa veste,mission,social,1,1,300,one_third,False,auto,True,True,Faire montrer sa veste,social,accessoire,Réussi,Raté,True
faire_venir_verifier_la_deco_rouge,Faire venir vérifier la déco rouge,mission,manipulation,2,3,420,one_half,False,auto,True,True,Faire venir vérifier la déco rouge,influence,déco,Réussi,Raté,True
faire_venir_verifier_un_detail_du_coin_photo,Faire venir vérifier un détail du coin photo,mission,manipulation,2,3,420,one_half,False,auto,True,True,Faire venir vérifier un détail du coin photo,influence,déco,Réussi,Raté,True
faire_venir_verifier_quelque_chose_au_niveau_des_lumieres,Faire venir vérifier quelque chose au niveau des lumières,mission,manipulation,2,3,420,one_half,False,auto,True,True,Faire venir vérifier quelque chose au niveau des lumières,influence,déco,Réussi,Raté,True
faire_aller_verifier_un_detail_de_deco_a_fanny,Faire aller vérifier un détail de déco à Fanny,mission,manipulation,2,3,420,one_half,False,auto,True,True,Faire aller vérifier un détail de déco à Fanny,influence,déco,Réussi,Raté,True
faire_aller_verifier_le_coin_photo_a_greg,Faire aller vérifier le coin photo à Greg,mission,manipulation,2,3,420,one_half,False,auto,True,True,Faire aller vérifier le coin photo à Greg,influence,déco,Réussi,Raté,True
faire_aller_verifier_la_table_a_lucas,Faire aller vérifier la table à Lucas,mission,manipulation,2,3,420,one_half,False,auto,True,True,Faire aller vérifier la table à Lucas,influence,déco,Réussi,Raté,True
faire_sapprocher_du_coin_photo,Faire s’approcher du coin photo,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire s’approcher du coin photo,placement,espace,Réussi,Raté,True
faire_sapprocher_de_la_table_du_punch,Faire s’approcher de la table du punch,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire s’approcher de la table du punch,placement,espace,Réussi,Raté,True
faire_sapprocher_du_beer_pong,Faire s’approcher du beer pong,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire s’approcher du beer pong,placement,espace,Réussi,Raté,True
faire_toucher_un_rideau,Faire toucher un rideau,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire toucher un rideau,placement,déco,Réussi,Raté,True
faire_regarder_les_lumieres,Faire regarder les lumières,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire regarder les lumières,placement,déco,Réussi,Raté,True
faire_toucher_un_masque_de_deco,Faire toucher un masque de déco,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire toucher un masque de déco,placement,déco,Réussi,Raté,True
faire_regarder_la_table_principale,Faire regarder la table principale,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire regarder la table principale,placement,déco,Réussi,Raté,True
faire_remplir_un_verre_vide_sur_la_table,Faire remplir un verre vide sur la table,mission,social,1,1,300,one_third,False,auto,True,True,Faire remplir un verre vide sur la table,social,boisson,Réussi,Raté,True
faire_remplir_un_verre_pres_du_punch,Faire remplir un verre près du punch,mission,social,1,1,300,one_third,False,auto,True,True,Faire remplir un verre près du punch,social,boisson,Réussi,Raté,True
faire_donner_un_avis_sur_le_punch,Faire donner un avis sur le punch,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire donner un avis sur le punch,parole,boisson,Réussi,Raté,True
faire_donner_un_avis_sur_la_biere,Faire donner un avis sur la bière,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire donner un avis sur la bière,parole,boisson,Réussi,Raté,True
faire_apporter_un_verre_a_fanny,Faire apporter un verre à Fanny,mission,social,2,3,420,one_half,False,auto,True,True,Faire apporter un verre à Fanny,social,boisson,Réussi,Raté,True
faire_apporter_un_verre_a_lou,Faire apporter un verre à Lou,mission,social,2,3,420,one_half,False,auto,True,True,Faire apporter un verre à Lou,social,boisson,Réussi,Raté,True
faire_apporter_un_verre_a_greg,Faire apporter un verre à Greg,mission,social,2,3,420,one_half,False,auto,True,True,Faire apporter un verre à Greg,social,boisson,Réussi,Raté,True
faire_apporter_un_verre_a_juliette,Faire apporter un verre à Juliette,mission,social,2,3,420,one_half,False,auto,True,True,Faire apporter un verre à Juliette,social,boisson,Réussi,Raté,True
lancer_une_discussion_sur_les_couleurs_des_tenues,Lancer une discussion sur les couleurs des tenues,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur les couleurs des tenues,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_la_tenue_la_plus_elegante,Lancer une discussion sur la tenue la plus élégante,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur la tenue la plus élégante,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_les_accessoires,Lancer une discussion sur les accessoires,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur les accessoires,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_lambiance_victorienne,Lancer une discussion sur l’ambiance victorienne,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur l’ambiance victorienne,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_le_dress_code,Lancer une discussion sur le dress code,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur le dress code,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_la_deco,Lancer une discussion sur la déco,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur la déco,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_le_plus_beau_masque,Lancer une discussion sur le plus beau masque,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur le plus beau masque,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_le_masque_le_plus_discret,Lancer une discussion sur le masque le plus discret,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur le masque le plus discret,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_les_masques_les_plus_originaux,Lancer une discussion sur les masques les plus originaux,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur les masques les plus originaux,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_les_photos_a_faire,Lancer une discussion sur les photos à faire,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur les photos à faire,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_qui_photographier,Lancer une discussion sur qui photographier,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur qui photographier,parole,thème,Réussi,Raté,True
lancer_une_discussion_sur_la_meilleure_pose,Lancer une discussion sur la meilleure pose,mission,conversation,1,1,300,one_third,False,auto,True,True,Lancer une discussion sur la meilleure pose,parole,thème,Réussi,Raté,True
faire_raconter_un_souvenir_drole,Faire raconter un souvenir drôle,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire raconter un souvenir drôle,parole,souvenir,Réussi,Raté,True
faire_raconter_un_souvenir_genant,Faire raconter un souvenir gênant,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire raconter un souvenir gênant,parole,souvenir,Réussi,Raté,True
faire_raconter_un_vieux_souvenir,Faire raconter un vieux souvenir,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire raconter un vieux souvenir,parole,souvenir,Réussi,Raté,True
faire_raconter_comment_la_personne_connait_manon,Faire raconter comment la personne connaît Manon,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire raconter comment la personne connaît Manon,parole,souvenir,Réussi,Raté,True
faire_raconter_depuis_quand_la_personne_connait_manon,Faire raconter depuis quand la personne connaît Manon,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire raconter depuis quand la personne connaît Manon,parole,souvenir,Réussi,Raté,True
faire_raconter_leur_premier_souvenir_ensemble,Faire raconter leur premier souvenir ensemble,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire raconter leur premier souvenir ensemble,parole,souvenir,Réussi,Raté,True
faire_parler_quelquun_de_sa_tenue,Faire parler quelqu’un de sa tenue,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire parler quelqu’un de sa tenue,parole,look,Réussi,Raté,True
faire_parler_quelquun_de_son_masque,Faire parler quelqu’un de son masque,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire parler quelqu’un de son masque,parole,look,Réussi,Raté,True
faire_parler_quelquun_de_ses_accessoires,Faire parler quelqu’un de ses accessoires,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire parler quelqu’un de ses accessoires,parole,look,Réussi,Raté,True
faire_parler_de_la_preparation,Faire parler de la préparation,mission,conversation,1,1,300,one_third,False,auto,True,True,Faire parler de la préparation,parole,soirée,Réussi,Raté,True
